Country,Cases,Deaths,Recovered,Serious,Tests,,Last updated: April 25 2020 12:49 GMT
USA,925758,52217,110432,15097,5037473,,
Spain,219764,22524,92355,7705,930230,,
Italy,192994,25969,60498,2173,1642356,,
France,159828,22245,43493,4870,463662,,
Germany,155054,5767,109800,2908,2072669,,
UK,143464,19506,,1559,612031,,
Turkey,104912,2600,21737,1790,830257,,
Iran,89328,5650,68193,3096,410075,,
China,82816,4632,77346,49,,,
Russia,74588,681,6250,2300,2721500,,
Brazil,54043,3704,27655,8318,291922,,
Belgium,45325,6917,10417,934,189067,,
Canada,43888,2302,15469,557,660108,,
Netherlands,37190,4409,,963,187000,,
Switzerland,28894,1593,21000,204,235252,,
India,24530,780,5498,,579957,,
Portugal,22797,854,1228,188,315758,,
Ecuador,22719,576,1366,127,56513,,
Peru,21648,634,7496,505,198349,,
Ireland,18184,1014,9233,142,111584,,
Sweden,17567,2152,1005,547,94500,,
Austria,15148,536,12103,148,221098,,
Israel,15148,198,6159,130,302691,,
Saudi Arabia,15102,127,2049,93,200000,,
Mexico,12872,1221,7149,378,51297,,
Japan,12829,345,1530,263,141600,,
Singapore,12693,12,956,24,121774,,
Chile,12306,174,6327,408,142267,,
Pakistan,12227,256,2755,111,138147,,
Poland,11067,499,2126,160,278994,,
S. Korea,10718,240,8635,55,595161,,
Romania,10635,579,2890,235,126645,,
Belarus,9590,67,1573,92,139295,,
Qatar,9358,10,929,72,79705,,
UAE,9281,64,1760,1,790000,,
Indonesia,8607,720,1042,,67828,,
Denmark,8445,418,5669,70,136738,,
Ukraine,8125,201,782,104,83577,,
Serbia,7483,144,1094,96,54887,,
Norway,7463,199,32,53,155125,,
Philippines,7294,494,792,1,81292,,
Czechia,7273,215,2389,71,210705,,
Australia,6695,80,5372,43,494257,,
Dominican Republic,5749,267,763,135,18261,,
Malaysia,5742,98,3762,36,126970,,
Panama,5338,154,319,87,24304,,
Bangladesh,4998,140,112,1,39476,,
Colombia,4881,225,1003,117,78078,,
Finland,4475,177,2500,61,77779,,
South Africa,4220,79,1473,36,152390,,
Egypt,4092,294,1075,,90000,,
Morocco,3889,159,498,1,24612,,
Luxembourg,3695,85,3007,25,37782,,
Argentina,3607,176,976,123,44654,,
Algeria,3127,415,1408,40,6500,,
Moldova,3110,87,825,212,11763,,
Thailand,2907,51,2547,61,142589,,
Kuwait,2892,19,656,58,,,
Kazakhstan,2525,25,629,31,180502,,
Bahrain,2518,8,1113,1,107273,,
Greece,2490,130,577,48,61407,,
Hungary,2443,262,458,61,60801,,
Croatia,2016,54,1034,21,30913,,
